word, noun, lemmatized, sentiment, source, ambiguity
абортивный, Adj, абортивный, negative, fact
анорексичка, Noun, анорексичка, negative, opinion
анорексия, Noun, анорексия, negative, fact
антагонизм, Noun, антагонизм, negative, opinion
антагонист, Noun, антагонист, negative, opinion
антагонистический, Adj, антагонистический, negative, opinion
антагонистичный, Adj, антагонистичный, negative, opinion
антагонистка, Noun, антагонистка, negative, opinion
антагонистский, Adj, антагонистский, negative, opinion
антигуманистический, Adj, антигуманистический, negative, opinion
антигуманность, Noun, антигуманность, negative, opinion
антигуманный, Adj, антигуманный, negative, opinion
антизаконный, Adj, антизаконный, negative, opinion
антиконституционность, Noun, антиконституционность, negative, fact
антиконституционный, Adj, антиконституционный, negative, fact
антимонопольный, Adj, антимонопольный, negative, fact
антинародный, Adj, антинародный, negative, opinion
антиобщественный, Adj, антиобщественный, negative, opinion
антипатичность, Noun, антипатичность, negative, opinion
антипатичный, Adj, антипатичный, negative, opinion
антипатия, Noun, антипатия, negative, feeling
антиправительственный, Adj, антиправительственный, negative, fact
антисанитария, Noun, антисанитария, negative, fact
антисанитарный, Adj, антисанитарный, negative, fact
антисемит, Noun, антисемит, negative, fact
антисемитизм, Noun, антисемитизм, negative, fact
антисемитка, Noun, антисемитка, negative, fact
антисемитский, Adj, антисемитский, negative, fact
антисионистский, Adj, антисионистский, negative, fact
антисоциальный, Adj, антисоциальный, negative, opinion
антицеллюлитный, Adj, антицеллюлитный, positive, fact
античеловеческий, Adj, античеловеческий, negative, opinion
античеловечный, Adj, античеловечный, negative, opinion
антракс, Noun, антракс, negative, fact
антропофагия, Noun, антропофагия, negative, fact
анус, Noun, анус, negative, fact
анфолловер, Noun, анфолловер, negative, fact
анфолловинг, Noun, анфолловинг/анфолловинга, negative, fact
анфолловить, Verb, анфолловить, negative, fact
анфоловить, Verb, анфоловить, negative, fact
апартеид, Noun, апартеид, negative, fact
апатический, Adj, апатический, negative, opinion
апатичность, Noun, апатичность, negative, opinion
апатичный, Adj, апатичный, negative, opinion
апатия, Noun, апатия, negative, opinion
апоплексический, Adj, апоплексический, negative, fact
апоплексия, Noun, апоплексия, negative, fact
аппетитность, Noun, аппетитность, positive, opinion
аппетитные формы, NG, аппетитный форма, positive, opinion
аппетитный, Adj, аппетитный, positive, opinion
арест, Noun, арест, negative, fact
арестовать, Verb, арестовать, negative, fact
арестовывать, Verb, арестовывать, negative, fact
аристократ, Noun, аристократ, positive, opinion
аристократизм, Noun, аристократизм, positive, opinion
аристократический, Adj, аристократический, positive, opinion
аристократичность, Noun, аристократичность, positive, opinion
аристократичный, Adj, аристократичный, positive, opinion
аристократка, Noun, аристократка, positive, opinion
аритмия, Noun, аритмия, negative, fact
аромат, Noun, аромат, positive, feeling
ароматический, Adj, ароматический, positive, feeling
ароматичность, Noun, ароматичность, positive, feeling
ароматичный, Adj, ароматичный, positive, feeling
ароматность, Noun, ароматность, positive, feeling
ароматный, Adj, ароматный, positive, feeling
артачиться, Verb, артачиться, negative, opinion
артериосклероз, Noun, артериосклероз, negative, fact
артеросклероз, Noun, артеросклероз, negative, fact
артист в своем деле, NG, артист в свой дело, positive, opinion
артист своего дела, NG, артист свой дело, positive, opinion
артистизм, Noun, артистизм, positive, opinion
артистический, Adj, артистический, positive, opinion
артистичность, Noun, артистичность, positive, opinion
артистичный, Adj, артистичный, positive, opinion
артрит, Noun, артрит, negative, fact
архаический, Adj, архаический, negative, opinion
архаичность, Noun, архаичность, negative, opinion
архаичный, Adj, архаичный, negative, opinion
архиважный, Adj, архиважный, positive, opinion
астма, Noun, астма, negative, fact
астматик, Noun, астматик, negative, fact
астматический, Adj, астматический, negative, fact
асфиксия, Noun, асфиксия, negative, fact
атака, Noun, атака, negative, fact
атака, Noun, атака, positive, fact
атеросклероз, Noun, атеросклероз, negative, fact
атеросклеротический, Adj, атеросклеротический, negative, fact
атмосферный выброс, NG, атмосферный выброс, negative, fact
аутсайдер, Noun, аутсайдер, negative, opinion
аутсайдерский, Adj, аутсайдерский, negative, opinion
афера, Noun, афера, negative, opinion
аферист, Noun, аферист, negative, opinion
аферистка, Noun, аферистка, negative, opinion
аферистский, Adj, аферистский, negative, opinion
афигенно, Adv, афигенно, positive, opinion
афигенный, Adj, афигенный, positive, opinion
афигеть как, VG, афигеть как, positive, opinion
афтершок, Noun, афтершок, negative, fact
афтершоковый, Adj, афтершоковый, negative, fact
ахиллесова пята, NG, ахиллесов пята, negative, opinion
ахинея, Noun, ахинея, negative, opinion
баба, Noun, баба, negative, opinion
бабка, Noun, бабка, negative, opinion
бабник, Noun, бабник, negative, opinion
бабский, Adj, бабский, negative, opinion
бабье, Noun, бабье, negative, opinion
базарить, Verb, базарить, negative, opinion
байка, Noun, байка, neutral, fact
байка, Noun, байка, positive/negative, opinion
баиньки, Interjection, баиньки/баинька, positive, opinion
баклушничать, Verb, баклушничать, negative, opinion
балабол, Noun, балабол, negative, opinion
балаболка, Noun, балаболка, negative, opinion
балбес, Noun, балбес, negative, opinion
балбеска, Noun, балбеска, negative, opinion
балда, Noun, балда, negative, opinion
балдеть, Verb, балдеть/балдей, positive, opinion
балласт, Noun, балласт, negative, opinion
балласт, Noun, балласт, neutral, fact
балласт, Noun, балласт, neutral, fact
балованный, Adj, балованный, negative, opinion
баловать, Verb, баловать, negative, opinion
баловаться, Verb, баловаться, negative, opinion
баловство, Noun, баловство, negative, opinion
банальность, Noun, банальность, negative, opinion
банальный, Adj, банальный, negative, opinion
банальщина, Noun, банальщина, negative, opinion
банда, Noun, банда, negative, fact
бандгруппа, Noun, бандгруппа, negative, fact
бандгруппировка, Noun, бандгруппировка, negative, fact
бандит, Noun, бандит, negative, opinion
бандитизм, Noun, бандитизм, negative, opinion
бандитка, Noun, бандитка, negative, opinion
бандитский, Adj, бандитский, negative, opinion
бандитствовать, Verb, бандитствовать, negative, opinion
бандитствующий, Adj, бандитствующий, negative, fact
бандподполье, Noun, бандподполье, negative, fact
бандформирование, Noun, бандформирование, negative, fact
бандюга, Noun, бандюга, negative, opinion
бандюган, Noun, бандюган, negative, opinion
банить, Verb, банить, negative, fact
банковская интервенция, NG, банковский интервенция, neutral, fact
банкрот, Noun, банкрот, negative, opinion
банкротство, Noun, банкротство, negative, opinion
бардак, Noun, бардак, negative, opinion
бардачный, Adj, бардачный, negative, opinion
барсеточник, Noun, барсеточник, negative, fact
бархатистость, Noun, бархатистость, positive, feeling
бархатистый, Adj, бархатистый, positive, feeling
бархатность, Noun, бархатность, positive, feeling
бархатный, Adj, бархатный, neutral, fact
бархатный, Adj, бархатный, positive, feeling
барышнический, Adj, барышнический, negative, opinion
барьер, Noun, барьер, negative, fact
барьер, Noun, барьер, neutral, fact
барьер, Noun, барьер, positive/negative, fact
басмач, Noun, басмач, negative, fact
басмаческий, Adj, басмаческий, negative, fact
басмачество, Noun, басмачество, negative, fact
басня, Noun, басня, negative, opinion
басня, Noun, басня, neutral, fact
бастовать, Verb, бастовать, negative, fact
бастующий, Adj, бастующий, negative, fact
бахвал, Noun, бахвал, negative, opinion
бахвалка, Noun, бахвалка, negative, opinion
бахвальский, Adj, бахвальский, negative, opinion
бацилловый, Adj, бацилловый, negative, fact
башибузук, Noun, башибузук, negative, opinion
башковитость, Noun, башковитость, positive, opinion
башковитый, Adj, башковитый, positive, opinion
бдительность, Noun, бдительность, positive, opinion
бдительный, Adj, бдительный, positive, opinion
бегство капитала, NG, бегство капитал, negative, fact
бегство, Noun, бегство, negative, fact
беда, Noun, беда, negative, opinion
бедлам, Noun, бедлам, negative, opinion
беднейший, Adj, беднейший, negative, opinion
бедненький, Adj, бедненький, positive, opinion
беднеть, Verb, беднеть, negative, opinion
бедность, Noun, бедность, negative, opinion
беднота, Noun, беднота, negative, opinion
бедный, Adj, бедный, negative, opinion
бедняга, Noun, бедняга, negative, opinion
бедняжка, Noun, бедняжка, negative, opinion
бедняк, Noun, бедняк, negative, opinion
бедняцкий, Adj, бедняцкий, negative, opinion
бедокурить, Verb, бедокурить, negative, opinion
бедолага, Noun, бедолага, negative, opinion
бедственность, Noun, бедственность, negative, opinion
бедственный, Adj, бедственный, negative, opinion
бедствие, Noun, бедствие, negative, opinion
бедствовать, Verb, бедствовать, negative, opinion
без зазрения совести, NG, без зазрение совесть, negative, opinion
без избытка, NG, без избыток, positive, opinion
без инцидентов, NG, без инцидент, positive, fact
без колебаний, NG, без колебание, positive, opinion
без нареканий, NG, без нарекание, positive, fact
без оглядки, NG, без оглядка, positive, opinion
без ограничений, NG, без ограничение, positive, fact
без очереди, NG, без очередь, positive, fact
без предупреждения, NG, без предупреждение, negative, fact
без проблем, NG, без проблема, positive, fact
без проволочек, NG, без проволочка, positive, fact
без происшествий, NG, без происшествие, positive, fact
без серьезных инцидентов, NG, без инцидент, positive, fact
без серьезных происшествий, NG, без серьезный происшествие, positive, fact
без сомнения, NG, без сомнение, positive, opinion
без страха и упрека, NG, без страх и упрек, positive, opinion
без тени сомнения, NG, без тень сомнение, positive, opinion
без ума, NG, без ум, positive, feeling
без утайки, NG, без утайка, positive, opinion
без электричества оставаться, VG, без электричество оставаться, negative, fact
без электричества остаться, VG, без электричество остаться, negative, fact
безалаберность, Noun, безалаберность, negative, opinion
безалаберный, Adj, безалаберный, negative, opinion
безальтернативность, Noun, безальтернативность, negative, opinion
безальтернативный, Adj, безальтернативный, negative, opinion
безапелляционность, Noun, безапелляционность, negative, opinion
безапелляционный, Adj, безапелляционность, negative, opinion
безбедность, Noun, безбедность, positive, opinion
безбедный, Adj, безбедный, positive, opinion
безбилетник, Noun, безбилетник, negative, fact
безбилетница, Noun, безбилетница, negative, fact
безбилетный проезд, NG, безбилетный проезд, negative, fact
безбожный, Adj, безбожный, negative, fact
безбожный, Adj, безбожный, negative, opinion
безбоязненность, Noun, безбоязненность, positive, opinion
безбоязненный, Adj, безбоязненный, positive, opinion
безверие, Noun, безверие, negative, feeling
безвинность, Noun, безвинность, positive, opinion
безвинный, Adj, безвинный, positive, opinion
безвкусие, Noun, безвкусие, negative, opinion
безвкусица, Noun, безвкусица, negative, opinion
безвкусность, Noun, безвкусность, negative, feeling
безвкусность, Noun, безвкусность, negative, opinion
безвкусный, Adj, безвкусный, negative, feeling
безвкусный, Adj, безвкусный, negative, opinion
безвластие, Noun, безвластие, negative, fact
безвозбранность, Noun, безвозбранность, positive, opinion
безвозбранный, Adj, безвозбранный, positive, opinion
безволие, Noun, безволие, negative, opinion
безвольность, Noun, безвольность, negative, opinion
безвольный, Adj, безвольный, negative, opinion
безвредность, Noun, безвредность, positive, opinion
безвредный, Adj, безвредный, positive, opinion
безвременность, Noun, безвременность, negative, opinion
безвременный, Adj, безвременный, negative, opinion
безвыходность, Noun, безвыходность, negative, opinion
безвыходный, Adj, безвыходный, negative, opinion
безголовость, Noun, безголовость, negative, opinion
безголовый, Adj, безголовый, negative, opinion
безграмотность, Noun, безграмотность, negative, opinion
безграмотный, Adj, безграмотный, negative, opinion
безгреховный, Adj, безгреховный, positive, opinion
безгрешность, Noun, безгрешность, positive, opinion
безгрешный, Adj, безгрешный, positive, opinion
бездарность, Noun, бездарность, negative, opinion
бездарный, Adj, бездарный, negative, opinion
бездарь, Noun, бездарь, negative, opinion
бездействие, Noun, бездействие, negative, fact
бездействовать, Verb, бездействовать, negative, fact
безделица, Noun, безделица, neutral, opinion
безделка, Noun, безделка, neutral, opinion
безделье, Noun, безделье, negative, opinion
бездельник, Noun, бездельник, negative, opinion
бездельница, Noun, бездельница, negative, opinion
бездельничать, Verb, бездельничать, negative, opinion
безденежный, Adj, безденежный, negative, opinion
безденежье, Noun, безденежье, negative, opinion
бездеятельность, Noun, бездеятельность, negative, opinion
бездеятельный, Adj, бездеятельный, negative, opinion
бездождье, Noun, бездождье, negative, fact
бездоказательность, Noun, бездоказательность, negative, opinion
бездоказательный, Adj, бездоказательный, negative, opinion
бездомничать, Verb, бездомничать, negative, fact
бездомничество, Noun, бездомничество, negative, fact
бездомность, Noun, бездомность, negative, fact
бездомный, Adj, бездомный, negative, fact
бездорожье, Noun, бездорожье, negative, fact
бездумность, Noun, бездумность, negative, opinion
бездумный, Adj, бездумный, negative, opinion
бездушие, Noun, бездушие, negative, opinion
бездушность, Noun, бездушность, negative, opinion
бездушный, Adj, бездушный, negative, opinion
безжалостность, Noun, безжалостность, negative, opinion
безжалостный, Adj, безжалостный, negative, opinion
безжизненность, Noun, безжизненность, negative, opinion
безжизненный, Adj, безжизненный, negative, opinion
беззаботность, Noun, беззаботность, positive, opinion
беззаботный, Adj, беззаботный, positive, opinion
беззаконие, Noun, беззаконие, negative, opinion
беззаконность, Noun, беззаконность, negative, opinion
беззаконный, Adj, беззаконный, negative, opinion
беззастенчивость, Noun, беззастенчивость, negative, opinion
беззастенчивый, Adj, беззастенчивый, negative, opinion
беззащитность, Noun, беззащитность, negative, opinion
беззащитный, Adj, беззащитный, negative, opinion
беззлобность, Noun, беззлобность, positive, opinion
беззлобный, Adj, беззлобный, positive, opinion
безликая серость, NG, безликий серость, negative, opinion
безликий, Adj, безликий, negative, opinion
безмозглость, Noun, безмозглость, negative, opinion
безмозглый, Adj, безмозглый, negative, opinion
безмятежность, Noun, безмятежность, positive, opinion
безмятежный, Adj, безмятежный, positive, opinion
безнадега, Noun, безнадега, negative, opinion
безнадежность, Noun, безнадежность, negative, opinion
безнадежный, Adj, безнадежный, negative, opinion
безнадзорность, Noun, безнадзорность, negative, fact
безнаказанность, Noun, безнаказанность, negative, opinion
безнаказанный, Adj, безнаказанный, negative, opinion
безнравственность, Noun, безнравственность, negative, opinion
безнравственный, Noun, безнравственный, negative, opinion
безобидность, Noun, безобидность, positive, opinion
безобидный на первый взгляд, AdjG, безобидный на первый взгляд, negative, opinion
безобидный, Adj, безобидный, positive, opinion
безоблачность, Noun, безоблачность, positive, opinion
безоблачный, Adj, безоблачный, positive, fact
безоблачный, Adj, безоблачный, positive, opinion
безобразие, Noun, безобразие, negative, opinion
безобразить, Verb, безобразить, negative, opinion
безобразник, Noun, безобразник, negative, opinion
безобразница, Noun, безобразница, negative, opinion
безобразничать, Verb, безобразничать, negative, opinion
безобразность, Noun, безобразность, negative, opinion
безобразный, Adj, безобразный, negative, opinion
безопасность, Noun, безопасность, positive, opinion
безопасный, Adj, безопасный, positive, opinion
безосновательность, Noun, безосновательность, negative, opinion
безосновательный, Adj, безосновательный, negative, opinion
безответственность, Noun, безответственность, negative, opinion
безответственный, Adj, безответственный, negative, opinion
безотказность, Noun, безотказность, positive, opinion
безотказный, Adj, безотказный, positive, opinion
безотрадность, Noun, безотрадность, negative, opinion
безотрадный, Adj, безотрадный, negative, opinion
безотцовщина, Noun, безотцовщина, negative, opinion
безошибочность, Noun, безошибочность, positive, opinion
безошибочный, Adj, безошибочный, positive, opinion
безперебойность, Noun, безперебойность, positive, opinion
безперебойный, Adj, безперебойный, positive, opinion
безплатный, Adj, безплатный, positive, fact
безработица, Noun, безработица, negative, fact
безработный, Noun, безработный, negative, fact
безрадостность, Noun, безрадостность, negative, opinion
безрадостный, Adj, безрадостный, negative, opinion
безраздельное господство, NG, безраздельный господство, negative, opinion
безразличие, Noun, безразличие, negative, opinion
безразличность, Noun, безразличность, negative, opinion
безразличный, Adj, безразличный, negative, opinion
безрезультативный, Adj, безрезультативный, negative, opinion
безрезультатность, Noun, безрезультатность, negative, opinion
безрезультатный, Adj, безрезультатный, negative, opinion
безрукий, Adj, безрукий, negative, opinion
безрукость, Noun, безрукость, negative, opinion
безукоризненность, Noun, безукоризненность, positive, opinion
безукоризненный, Adj, безукоризненный, positive, opinion
безумец, Noun, безумец, negative, opinion
безумие, Noun, безумие, negative, opinion
безумность, Noun, безумность, negative, opinion
безумный, Adj, безумный, negative, opinion
безумство, Noun, безумство, negative, opinion
безумствовать, Verb, безумствовать, negative, opinion
безумье, Noun, безумье, negative, opinion
безупречность, Noun, безупречность, positive, opinion
безупречный, Adj, безупречный, positive, opinion
безуспешность, Noun, безуспешность, negative, opinion
безуспешный, Adj, безуспешный, negative, opinion
безустанность, Noun, безустанность, positive, opinion
безустанный, Adj, безустанный, positive, opinion
безутешность, Noun, безутешность, negative, opinion
безутешный, Adj, безутешный, negative, opinion
безучастие, Noun, безучастие, negative, opinion
безучастность, Noun, безучастность, negative, opinion
безучастный, Adj, безучастный, negative, opinion
безыскусность, Noun, безыскусность, positive, opinion
безыскусный, Adj, безыскусный, positive, opinion
безыскусственность, Noun, безыскусственность, positive, opinion
безыскусственный, Adj, безыскусственный, positive, opinion
безысходность, Noun, безысходность, negative, opinion
безысходный, Adj, безысходный, negative, opinion
белесость, Noun, белесость, negative, opinion
белесый, Adj, белесый, negative, opinion
белиберда, Noun, белиберда, negative, opinion
белокровие, Noun, белокровие, negative, fact
белокровный, Adj, белокровный, negative, fact
белоручка, Noun, белоручка, negative, opinion
белоснежность, Noun, белоснежность, positive, feeling
белоснежный, Adj, белоснежный, positive, feeling
бережливость, Noun, бережливость, positive, opinion
бережливый, Adj, бережливый, positive, opinion
бережность, Noun, бережность, positive, opinion
бережный, Adj, бережный, positive, opinion
бесенок, Noun, бесенок, positive, opinion
беситься, Verb, беситься, negative, opinion
бескомпромиссность, Noun, бескомпромиссность, positive, opinion
бескомпромиссный, Adj, бескомпромиссный, positive, opinion
бесконечный повтор, NG, бесконечный повтор, negative, opinion
бесконтрольность, Noun, бесконтрольность, negative, opinion
бесконтрольный, Adj, бесконтрольный, negative, opinion
бесконфликтность, Noun, бесконфликтность, positive, fact
бесконфликтность, Noun, бесконфликтность, positive, opinion
бескорыстие, Noun, бескорыстие, positive, opinion
бескорыстность, Noun, бескорыстность, positive, opinion
бескорыстный, Adj, бескорыстный, positive, opinion
бескультурие, Noun, бескультурие, negative, opinion
бескультурный, Adj, бескультурный, negative, opinion
бескультурье, Noun, бескультурье, negative, opinion
бесноваться, Verb, бесноваться, negative, opinion
беспалевно, Adv, беспалевно, positive, opinion
беспалевный, Adj, беспалевный, positive, opinion
беспамятность, Noun, беспамятность, negative, opinion
беспамятный, Adj, беспамятный, negative, fact
беспамятный, Adj, беспамятный, negative, opinion
беспамятство, Noun, беспамятство, negative, fact
беспардонность, Noun, беспардонность, negative, opinion
беспардонный, Adj, беспардонный, negative, opinion
бесперспективность, Noun, бесперспективность, negative, opinion
бесперспективный, Adj, бесперспективный, negative, opinion
беспечность, Noun, беспечность, negative, opinion
беспечный, Adj, беспечный, negative, opinion
бесплатный, Adj, бесплатный, positive, fact
бесплодие, Noun, бесплодие, negative, fact
бесплодность, Noun, бесплодность, negative, opinion
бесплодный, Adj, бесплодный, negative, opinion
бесподобность, Noun, бесподобность, positive, opinion
бесподобный, Adj, бесподобный, positive, opinion
беспокойность, Noun, беспокойность, negative, feeling
беспокойный, Adj, беспокойный, negative, feeling
беспокойство, Noun, беспокойство, negative, feeling
беспокоить, Verb, беспокоить, negative, feeling
беспокоиться, Verb, беспокиться, negative, feeling
бесполезность, Noun, бесполезность, negative, opinion
бесполезный, Adj, бесполезный, negative, opinion
беспомощность, Noun, беспомощность, negative, opinion
беспомощный, Adj, беспомощный, negative, opinion
беспорочность, Noun, беспорочность, positive, opinion
беспорочный, Adj, беспорочный, positive, opinion
беспорядок, Noun, беспорядок, negative, opinion
беспорядочность, Noun, беспорядочность, negative, opinion
беспорядочный, Adj, беспорядочный, negative, opinion
беспочвенность, Noun, беспочвенность, negative, opinion
беспочвенный, Adj, беспочвенный, negative, opinion
беспощадность, Noun, беспощадность, negative, opinion
беспощадный, Adj, беспощадный, negative, opinion
беспредел, Noun, беспредел, negative, opinion
беспрепятственность, Noun, беспрепятственность, positive, opinion
беспрепятственный, Adj, беспрепятственный, positive, opinion
беспризорник, Noun, беспризорник, negative, opinion
беспризорница, Noun, беспризорница, negative, opinion
беспризорнический, Adj, беспризорнический, negative, opinion
беспризорность, Noun, беспризорность, negative, fact
беспризорный, Adj, беспризорный, negative, opinion
беспризорщина, Noun, беспризорщина, negative, opinion
беспринципность, Noun, беспринципность, negative, opinion
беспринципный, Adj, беспринципный, negative, opinion
беспристрастие, Noun, беспристрастие, positive, opinion
беспристрастность, Noun, беспристрастность, positive, opinion
беспристрастный, Adj, беспристрастный, positive, opinion
беспроигрышность, Noun, беспроигрышность, positive, opinion
беспроигрышный, Adj, беспроигрышный, positive, opinion
беспросветность, Noun, беспросветность, negative, opinion
беспросветный, Adj, беспросветный, negative, opinion
беспутник, Noun, беспутник, negative, opinion
беспутница, Noun, беспутница, negative, opinion
беспутничать, Verb, беспутничать, negative, opinion
беспутнический, Adj, беспутнический, negative, opinion
беспутность, Noun, беспутность, negative, opinion
беспутный, Adj, беспутный, negative, opinion
беспутство, Noun, беспутство, negative, opinion
бессвязность, Noun, бессвязность, negative, opinion
бессвязный, Adj, бессвязный, negative, opinion
бессердечие, Noun, бессердечие, negative, opinion
бессердечность, Noun, бессердечность, negative, opinion
бессердечный, Adj, бессердечный, negative, opinion
